segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2
1,low_100_700,10,12,0.00059502135,0.0045750514131527,((f * 0.0008654221) - -0.11031907) + (-33.63608 / sqrt(sigma - f)),0.0008654221*f + 0.11031907 - 33.63608/sqrt(-f + sigma),ok,0.02435727679333537,0.019174364894738782,0.1328367517363932,0.9762411938722393
2,mid_700_1300,8,11,0.0027393978,0.0018074493125869,1.484128 - (25.237816 / (log(alpha_infinity + -0.57839876) + sqrt(f))),1.484128 - 25.237816/(sqrt(f) + log(alpha_infinity - 0.57839876)),ok,0.052313120225454986,0.03947052958032007,0.21907876988971675,0.6742158793166448
3,high_1300_2000,10,11,0.0014093084,0.1584688557716561,(sqrt(sqrt(alpha_infinity)) + log(f / sqrt(sigma))) * 0.26838857,0.26838857*alpha_infinity**(1/4) + 0.26838857*log(f/sqrt(sigma)),ok,0.03751742469438996,0.028779851732090255,0.23607762915305375,0.802541504348785
