segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,raw_prediction_min,raw_prediction_max,num_clipped,rmse,mae,max_abs_error,r2,evaluation_split
1,low_100_700,1,1,0.024842951,0.0,0.2873673,0.287367300000000,ok,0.2873673,0.2873673,0,0.15829220693999782,0.13783247384829958,0.33149899085485957,-0.0001480655326500102,validation
1,low_100_700,2,3,0.0026576195,1.1175716265169222,f * 0.0007636627,f*0.0007636627,ok,0.07636627,0.5139571187301587,0,0.051410242692281324,0.04287278723742387,0.172935724529918,0.8945019240678416,validation
1,low_100_700,3,5,0.0022954731,0.0732459156193243,(f * 0.00086344214) + -0.04638122,f*0.00086344214 - 0.04638122,ok,0.03996299399999999,0.5347290456507936,0,0.047805260320731575,0.0380031504083197,0.1937076514505529,0.9087786267375084,validation
1,low_100_700,4,7,0.00072463695,0.5765117371141345,(-2707.036 / sigma) - (f * -0.0008995205),-(-0.0008995205)*f - 2707.036/sigma,ok,-0.08459126152334452,0.5766765597631266,50,0.025411965617753954,0.01983070469766041,0.10544044383341955,0.9742236304733395,validation
1,low_100_700,5,9,0.0006249524,0.0739976419882165,(((-7.349145 / sigma) - -0.0010348681) * f) - 0.04637848,f*(-1*(-0.0010348681) - 7.349145/sigma) - 1*0.04637848,ok,0.009722772321224031,0.5976382765846884,0,0.024745127212753994,0.0190796656448237,0.16056530376115308,0.9755586825028676,validation
1,low_100_700,6,11,0.00062473596,0.0001731951813684,((((-7.349145 / sigma) - -0.0010348681) * f) - 0.04637848) - lambda_var,f*(-1*(-0.0010348681) - 7.349145/sigma) - lambda_var - 1*0.04637848,ok,0.009674505432912234,0.597539129332409,0,0.024740613506593075,0.019075031473326422,0.16061357064946485,0.9755675982673909,validation
1,low_100_700,7,12,0.0005940139,0.0504263767110906,((f / (sqrt(sigma) / -0.0786498)) - (f * -0.0012306403)) + -0.046386458,0.0012306403*f - 0.0786498*f/sqrt(sigma) - 0.046386458,ok,0.013523375713071516,0.6094567071061154,0,0.024296221721514518,0.018414927597831393,0.1349409244572906,0.9764374268743999,validation
1,low_100_700,8,14,0.00055527367,0.0337208142250653,(((f / (sigma / -43.6826)) - (f * -0.007126295)) / log(f)) + -0.103937484,(0.007126295*f - 43.6826*f/sigma)/log(f) - 0.103937484,ok,-0.010352587791391074,0.5847014277510658,7,0.02322217485799816,0.01791970367133344,0.15026637353688954,0.978474610796314,validation
1,low_100_700,9,15,0.0005218518,0.0620774517849804,(((f / (sqrt(sigma) / -0.49186903)) + -0.47785938) - (f * -0.008073901)) / log(f),(0.008073901*f - 0.49186903*f/sqrt(sigma) - 0.47785938)/log(f),ok,-0.014207976091320088,0.5955135220311797,14,0.022591007845534427,0.017094832616176663,0.14101056754135888,0.9796288079194863,validation
1,low_100_700,10,17,0.0005215507,0.0002885751264331,((((f + 0.71063006) / (sqrt(sigma) / -0.49174997)) + -0.47783154) - (f * -0.008073716)) / log(f),(0.008073716*f - 0.47783154 - 0.49174997*(f + 0.71063006)/sqrt(sigma))/log(f),ok,-0.014794510007132508,0.5953639724407095,15,0.0225733366990154,0.017088762581212735,0.14127378478193087,0.9796606649778106,validation
