segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2
1,low_100_700,16,24,0.00054212747,0.0021356670825734,(f * 0.00088849757) - ((4.541272 / sqrt((sqrt(sigma - f) + 9.983915) - (f / ((sigma / f) - log(sigma))))) + -0.24966827),0.00088849757*f + 0.24966827 - 4.541272/sqrt(-f/(-log(sigma) + sigma/f) + sqrt(-f + sigma) + 9.983915),ok,0.023244085321021728,0.018083386918192924,0.16609534942013637,0.9783632477286306
2,mid_700_1300,15,24,0.0025339436,7.564424453655658e-05,(2.3115363 - (9.046179 / sqrt(sqrt(f - (((1.7906743 - alpha_infinity) * f) * (h * sqrt(sqrt(f * sqrt(alpha_infinity))))))))) - lambda_var,-lambda_var + 2.3115363 - 9.046179/(-f*h*(sqrt(alpha_infinity)*f)**(1/4)*(1.7906743 - alpha_infinity) + f)**(1/4),ok,0.05028630236359051,0.038465573234367084,0.20087947632955783,0.6989711855472371
3,high_1300_2000,17,24,0.0012267496,2.03790528238618e-07,(((-5.818711e-6 * ((alpha_infinity * f) - h)) * sqrt(sqrt(sigma * lambda_var))) + 0.2796926) * (sqrt(alpha_infinity) + log(f / sqrt(sigma))),(sqrt(alpha_infinity) + log(f/sqrt(sigma)))*((lambda_var*sigma)**(1/4)*(-5.818711e-6*alpha_infinity*f + 5.818711e-6*h) + 0.2796926),ok,0.03499241308197407,0.02605340742765227,0.2523473797988196,0.8282259441754598
