segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,raw_prediction_min,raw_prediction_max,num_clipped,rmse,mae,max_abs_error,r2
1,low_100_700,1,1,0.024892988,0.0,0.28843153,0.288431530000000,ok,0.28843153,0.28843153,0,0.15776231722248563,0.13722604700610336,0.34360399586034285,-6.843712745396857e-06
1,low_100_700,2,3,0.0026477035,1.120446748440005,f * 0.00076508836,f*0.00076508836,ok,0.076508836,0.5149166105396825,0,0.051305724282551333,0.042938772019212604,0.19354240319172367,0.8942383872179237
1,low_100_700,3,5,0.0022874977,0.0731170739019305,(f * 0.00086466235) - 0.04632638,f*0.00086466235 - 1*0.04632638,ok,0.040139855,0.5356051063492063,0,0.04767175281669378,0.03793834700691549,0.21423089900124748,0.9086899332804221
1,low_100_700,4,6,0.0016590586,0.3212081796346461,log(sigma) * (f * 7.10547e-5),7.10547e-5*f*log(sigma),ok,0.06840777875931747,0.5479774681115028,0,0.04064413542545516,0.03395122355095929,0.13940856380432476,0.933626885269978
1,low_100_700,5,7,0.001166439,0.3522948151406362,((sigma * 3.9538444e-9) - -0.000547772) * f,f*(sigma*3.9538444e-9 - 1*(-0.000547772)),ok,0.060777618325918006,0.6207755252467982,0,0.034078869270986065,0.02778234757157069,0.16387703573731754,0.9533376322474071
1,low_100_700,6,8,0.0009765251,0.1777103428779585,f * ((log(sigma) * 0.00019651843) - 0.0013586605),f*(0.00019651843*log(sigma) - 0.0013586605),ok,0.05333169879872014,0.6011600663125062,0,0.03120271103232964,0.02544156191554657,0.16562326047604703,0.9608816005360853
1,low_100_700,7,9,0.0007975296,0.2024815040737698,(log(sigma) * (sqrt(f) * 0.0029974629)) - 0.33041513,0.0029974629*sqrt(f)*log(sigma) - 0.33041513,ok,-0.041834953175015566,0.5606532938746988,586,0.027600143088574853,0.021459445993448917,0.14112203734338458,0.9693931182096596
1,low_100_700,8,10,0.0005260347,0.4161517698141175,(log(sigma) * ((f * 7.998246e-5) - -0.05312252)) + -0.6202384,(7.998246e-5*f + 0.05312252)*log(sigma) - 0.6202384,ok,-0.03179937511804087,0.6053183720100231,158,0.02279963679730903,0.01753373912585235,0.13127634301132618,0.9791141441473594
1,low_100_700,9,12,0.0005235053,0.0024100128599702,(log(sigma) * (((f * 7.9982514e-5) - -0.052903645) + lambda_prime)) - 0.61990863,(7.9982514e-5*f + lambda_prime + 0.052903645)*log(sigma) - 0.61990863,ok,-0.031539155275814745,0.6058022097697177,160,0.02274510232314034,0.017451432300428445,0.13076716164839963,0.9792139384546087
1,low_100_700,10,13,0.0005208845,0.0050188263064073,((log(sigma) * ((f * 7.99751e-5) - -0.05300503)) - 0.63246495) + sqrt(lambda_prime),sqrt(lambda_prime) + (7.99751e-5*f + 0.05300503)*log(sigma) - 0.63246495,ok,-0.032985218408337236,0.6079842021984802,160,0.022690665080174713,0.017310380592338224,0.12938737614003326,0.9793133164903378
