segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2
1,low_100_700,1,1,0.024951994,0.0,0.28692827,0.286928270000000,ok,0.1580228805404615,0.13745439377271595,0.35074006875514985,-1.6346415298240657e-05
1,low_100_700,2,3,0.0027705368,1.0989563234028985,f / 1312.8176,f/1312.8176,ok,0.05269930523443897,0.04402326709715893,0.17792779949722415,0.8887815264360514
1,low_100_700,3,5,0.0023921288,0.0734287056227053,(f * 0.00086377974) - 0.047478057,f*0.00086377974 - 1*0.047478057,ok,0.048937632167777,0.03877788292963958,0.199137271340869,0.9040923928927989
1,low_100_700,4,6,0.001747597,0.3139419793388724,log(sigma) * (f * 7.085893e-5),7.085893e-5*f*log(sigma),ok,0.04183110459485909,0.034833881566869125,0.13037698188314267,0.9299245627468463
1,low_100_700,5,8,0.001019566,0.2694323274501223,f * ((log(sigma) * 0.00019913519) - 0.0013871648),f*(0.00019913519*log(sigma) - 0.0013871648),ok,0.031918379929765664,0.025739323829293757,0.19036264565256272,0.9592010646171736
1,low_100_700,6,9,0.0008457923,0.1868585043456976,((sqrt(f) * 0.0030018564) * log(sigma)) - 0.33192474,0.0030018564*sqrt(f)*log(sigma) - 0.33192474,ok,0.02913745971084447,0.02238097411060751,0.15150192866770112,0.9660006571545005
1,low_100_700,7,10,0.0005442084,0.4409415594582281,(((f * 8.0045764e-5) + 0.05424218) * log(sigma)) - 0.6327792,(8.0045764e-5*f + 0.05424218)*log(sigma) - 0.6327792,ok,0.023249442856849732,0.017720482089686414,0.14456327502635868,0.9783532724568078
1,low_100_700,8,12,0.0005402163,0.0036813234093793,(log(sigma) * (((f * 8.0045764e-5) + 0.05409524) + lambda_prime)) - 0.63320416,(8.0045764e-5*f + lambda_prime + 0.05409524)*log(sigma) - 0.63320416,ok,0.023163471054065493,0.017622951345210778,0.14376475468388672,0.9785130670277263
1,low_100_700,9,14,0.0005110742,0.0277274148855269,((log(sigma) + (alpha_infinity * 0.22378291)) * ((f * 7.757242e-5) + 0.054732002)) - 0.6570894,(0.22378291*alpha_infinity + log(sigma))*(7.757242e-5*f + 0.054732002) - 0.6570894,ok,0.022517033223681232,0.01744499208768142,0.13382914246229893,0.9796956314373971
1,low_100_700,10,17,0.0005079738,0.0020283045655182,((((f * 7.811898e-5) + lambda_prime) + 0.054729693) * ((alpha_infinity * sqrt(h)) + log(sigma))) - 0.65483636,(alpha_infinity*sqrt(h) + log(sigma))*(7.811898e-5*f + lambda_prime + 0.054729693) - 0.65483636,ok,0.022450052970188622,0.017292006874250948,0.13461737881166635,0.9798162484823956
1,low_100_700,11,18,0.00049591117,0.0240330535013346,(((f * (((lambda_prime * alpha_infinity) * (alpha_infinity * 0.0063268924)) + 7.7131204e-5)) + 0.054542534) * log(sigma)) - 0.6361148,(f*(0.0063268924*alpha_infinity**2*lambda_prime + 7.7131204e-5) + 0.054542534)*log(sigma) - 0.6361148,ok,0.022191067522077744,0.01701869417331874,0.12122864618722873,0.9802792448675883
1,low_100_700,12,21,0.00049302535,0.001945408448314,((0.05901947 + ((((((alpha_infinity * lambda_prime) * alpha_infinity) - lambda_var) / sqrt(sigma)) + 7.79304e-5) * f)) * log(sigma)) - 0.6844834,(f*(7.79304e-5 + (alpha_infinity**2*lambda_prime - lambda_var)/sqrt(sigma)) + 0.05901947)*log(sigma) - 0.6844834,ok,0.02212364252889248,0.017133652094686272,0.12288950880179617,0.9803989012790789
1,low_100_700,13,23,0.0004760353,0.017534290726718,(log(sigma) * ((f * (((alpha_infinity / sqrt(sigma)) * (lambda_prime * alpha_infinity)) + 7.368661e-5)) + (0.06239647 + (-0.38181257 / f)))) + -0.68898743,(f*(alpha_infinity**2*lambda_prime/sqrt(sigma) + 7.368661e-5) + 0.06239647 - 0.38181257/f)*log(sigma) - 0.68898743,ok,0.021762641748397454,0.01650442460751045,0.1262268866641194,0.9810333610698798
1,low_100_700,14,25,0.00047583462,0.0002108271295865,((log(sigma) * ((((alpha_infinity * (alpha_infinity * (lambda_prime / sqrt(sigma)))) + 6.8579175e-5) * f) + (0.056761272 + (-0.26525667 / f)))) + -0.63412887) / phi,((f*(alpha_infinity**2*lambda_prime/sqrt(sigma) + 6.8579175e-5) + 0.056761272 - 0.26525667/f)*log(sigma) - 0.63412887)/phi,ok,0.02174873272707086,0.01657336321834182,0.12313637232967378,0.9810575973814121
1,low_100_700,15,27,0.00047583305,1.6497355636261977e-06,((log(sigma + -0.5072861) * (((((alpha_infinity * (alpha_infinity * (lambda_prime / sqrt(sigma)))) + 6.8579175e-5) * f) + 0.056761272) + (-0.26525667 / f))) + -0.63412887) / phi,((f*(alpha_infinity**2*lambda_prime/sqrt(sigma) + 6.8579175e-5) + 0.056761272 - 0.26525667/f)*log(sigma - 0.5072861) - 0.63412887)/phi,ok,0.02174870085347446,0.016573294867130058,0.12313834819938413,0.9810576529029968
2,midlow_700_1000,1,1,0.004299489,0.0,0.60987973,0.609879730000000,ok,0.06577142431272415,0.0502857610613454,0.27194624689069924,-1.1671273096869328e-06
2,midlow_700_1000,2,3,0.0026695433,0.2382943846679948,f * 0.0007249056,f*0.0007249056,ok,0.051519030177107114,0.0404147902969374,0.19144327220857915,0.3864338791085412
2,midlow_700_1000,3,4,0.002491786,0.0689076866541271,sqrt(f) * 0.021110024,0.021110024*sqrt(f),ok,0.049935199045845945,0.03564843781201986,0.22279984166422317,0.42357927950546004
2,midlow_700_1000,4,5,0.0023307423,0.0668129219068092,(f * 0.00051314145) + 0.17949808,f*0.00051314145 + 0.17949808,ok,0.04821582184806929,0.035197984102309225,0.20221861070022307,0.4625907209311396
2,midlow_700_1000,5,6,0.0023188305,0.0051238367794679,(sqrt(f) + alpha_infinity) * 0.02004456,0.02004456*alpha_infinity + 0.02004456*sqrt(f),ok,0.048173838415585424,0.034274614204407736,0.219543590498123,0.4635262007126678
2,midlow_700_1000,6,7,0.0020365943,0.1297840117828926,log((alpha_infinity + sqrt(f)) * 0.06047226),log(0.06047226*alpha_infinity + 0.06047226*sqrt(f)),ok,0.0450287081881575,0.03354304920855203,0.18966227309262595,0.5312891694879944
2,midlow_700_1000,7,8,0.0020283025,0.004079715628096,((sqrt(f) + alpha_infinity) * 0.031183666) + -0.34024897,0.031183666*alpha_infinity + 0.031183666*sqrt(f) - 0.34024897,ok,0.04495265145227216,0.03308015130146302,0.19175087218169862,0.53287120507082
2,midlow_700_1000,8,9,0.0019521338,0.03827620561737,(490.97522 / ((alpha_infinity * -104.71722) - f)) + 1.1047698,1.1047698 + 490.97522/(alpha_infinity*(-104.71722) - f),ok,0.04409828286969189,0.0326483839468326,0.1983551456755649,0.55045893400163
2,midlow_700_1000,9,11,0.0019482529,0.0009950042340007,(490.97522 / ((alpha_infinity / -0.0092189815) + (9.405102 - f))) + 1.1064024,1.1064024 + 490.97522/(alpha_infinity/(-0.0092189815) - f + 9.405102),ok,0.04405144449818596,0.03272235978234065,0.19765173905654432,0.5514133743127276
2,midlow_700_1000,10,12,0.0019067499,0.0215328526388104,((490.97522 / ((alpha_infinity * -104.717224) - f)) + 1.1143389) - sqrt(lambda_var),-sqrt(lambda_var) + 1.1143389 + 490.97522/(-104.717224*alpha_infinity - f),ok,0.04359122137020026,0.032288447440583505,0.1951774586143169,0.5607375410762764
2,midlow_700_1000,11,13,0.0017218313,0.1020117358902119,(495.4538 / ((alpha_infinity / (sqrt(sqrt(k0_prime)) / -0.7832989)) - f)) + 1.1119865,1.1119865 + 495.4538/(-0.7832989*alpha_infinity/k0_prime**(1/4) - f),ok,0.041453200619540394,0.030600443375111492,0.1973910169810188,0.6027698999006956
