segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2
1,low_100_700,15,27,0.00047583305,1.6497355636261977e-06,((log(sigma + -0.5072861) * (((((alpha_infinity * (alpha_infinity * (lambda_prime / sqrt(sigma)))) + 6.8579175e-5) * f) + 0.056761272) + (-0.26525667 / f))) + -0.63412887) / phi,((f*(alpha_infinity**2*lambda_prime/sqrt(sigma) + 6.8579175e-5) + 0.056761272 - 0.26525667/f)*log(sigma - 0.5072861) - 0.63412887)/phi,ok,0.02174870085347446,0.016573294867130058,0.12313834819938413,0.9810576529029968
2,midlow_700_1000,20,26,0.0012554401,0.0004393340717418,((519.1551 / (alpha_infinity + (((alpha_infinity / 31.53819) / ((sqrt(sqrt(k0_prime)) / -50.794178) - lambda_var)) - f))) + ((-12.039083 / sqrt(sigma)) + 1.1437076)) * 1.0476619,1.19821887726044 + 543.89901846069/(alpha_infinity + 0.0317075900677877*alpha_infinity/(-0.0196872956581756*k0_prime**(1/4) - lambda_var) - f) - 12.6128885700377/sqrt(sigma),ok,0.03536908763014363,0.027299234554367776,0.21217948381914487,0.7108163551079096
3,midhigh_1000_1300,20,27,0.0010827067,0.0014600811074692,((f * 0.00032550344) + ((0.118013375 - (((sigma * 9.554662e-12) + k0_prime) * sigma)) * alpha_infinity)) + (((-0.0059109917 - (lambda_var / 0.06469649)) / (h - lambda_prime)) + 0.48108006),alpha_infinity*(0.118013375 - sigma*(k0_prime + sigma*9.554662e-12)) + f*0.00032550344 + 0.48108006 + (-lambda_var/0.06469649 - 0.0059109917)/(h - lambda_prime),ok,0.0328398201723873,0.0239541161679658,0.1619255864666863,0.7640715872391839
4,highlow_1300_1650,20,25,0.00052115956,0.0379360603493661,((1.0640042 - sqrt(sqrt(lambda_var))) * (sqrt(sqrt(alpha_infinity)) + (((alpha_infinity * sigma) * -1.9799766e-6) + 0.19389735))) + ((-401.93002 / f) - sqrt(sqrt(k0_prime))),-k0_prime**(1/4) + (1.0640042 - lambda_var**(1/4))*(alpha_infinity**(1/4) - 1.9799766e-6*alpha_infinity*sigma + 0.19389735) - 401.93002/f,ok,0.02295295080988209,0.015839199843934136,0.15365669910984403,0.9182938998414343
5,high_1650_2000,19,27,0.00033379585,8.852638043714487e-06,(((3.69897e-5 / (-9.05488 / sigma)) + (-9.550038 / ((alpha_infinity * sqrt(sigma)) + -77.48799))) - ((0.05215929 / (-9.054519 / sqrt(f + 1.1521997))) + lambda_prime)) + 0.8758304,-lambda_prime - 4.08505689749616e-6*sigma + 0.00576058098723963*sqrt(f + 1.1521997) + 0.8758304 - 9.550038/(alpha_infinity*sqrt(sigma) - 77.48799),ok,0.01828568382242804,0.011925032937873737,0.19258971853562645,0.9517335914469144
