segment_id,segment_name,lower_hz,upper_hz,equation,complexity,loss,train_rmse,test_rmse,train_mae,test_mae,test_r2,n_rows_used
1,low_100_700,100.0,700.0,(log(sigma) * (((f * 8.390165e-5) - -0.052429207) - (k0_prime * (f * f)))) + -0.6192899,16,0.00041929306,0.02047665625045926,0.020633539676967964,0.015661596214924772,0.015764729209698264,0.9828803310434698,20000
2,midlow_700_1000,700.0,1000.0,log(log(log(sigma)) - (576.0282 / f)) - (alpha_infinity * ((-6.644685e-6 / ((k0_prime * sigma) + lambda_var)) - 0.032786235)),20,0.0011531182,0.033957596703652455,0.03564984583987431,0.026134691967791432,0.027241850313951467,0.7173090572778762,10000
3,midhigh_1000_1300,1000.0,1300.0,0.5887841 - (((-12.531797 + (f * (0.024511287 - (lambda_var * sqrt(f))))) * alpha_infinity) * ((sigma * 9.6124516e-8) - 0.013081979)),20,0.0011349935,0.03368966411845926,0.034049256085412954,0.024523717167436822,0.024614307230730405,0.7355083355539729,10000
4,highlow_1300_1650,1300.0,1650.0,((log(lambda_var) * -1.2906542e-5) * ((f + (sigma / -62.65038)) * alpha_infinity)) - -0.70314354,14,0.00061484275,0.02479602435294766,0.024608615360229798,0.01718864179328138,0.017281269313501307,0.9069190149960621,12000
5,high_1650_2000,1650.0,2000.0,((-24.365126 / ((sigma * 0.008324053) * alpha_infinity)) + 1.1437943) - (sigma * 4.41604e-6),13,0.00038798669,0.01969737955490242,0.019416391793461957,0.01412133717824837,0.01395857397536534,0.944005099131029,12000
