segment_id,segment_name,lower_hz,upper_hz,equation,complexity,loss,train_rmse,test_rmse,train_mae,test_mae,test_r2,n_rows_used
1,low_100_700,100.0,700.0,((0.0010358472 - (7.4268637 / sigma)) * f) - 0.046233032,9,0.0006182686,0.0248650118485383,0.024486685264034913,0.01939400393607778,0.01916475329091433,0.9758894073408444,20000
2,midlow_700_1000,700.0,1000.0,(0.07440006 - sqrt(sqrt(k0_prime))) * (alpha_infinity + (f * 0.009108387)),11,0.0015424431,0.03927395203934017,0.04126728915790166,0.029940962757254844,0.031010157241955157,0.6212013139150616,10000
3,midhigh_1000_1300,1000.0,1300.0,(((alpha_infinity * -0.0012520024) / (f / sigma)) - sqrt(2.2891948 / ((alpha_infinity / -46.719387) / (-3.0335038 / f)))) + 1.2653449,20,0.001568909,0.03960945745374959,0.04070556351414753,0.028173343643173743,0.0290138346173974,0.6219891402510007,10000
4,highlow_1300_1650,1300.0,1650.0,(alpha_infinity * (((sigma * 0.016085258) - f) * -0.000119251505)) + 0.7055533,11,0.0007178809,0.026793301016642204,0.02652939591950259,0.018610398182263524,0.018570698394954954,0.8918214050779176,12000
5,high_1650_2000,1650.0,2000.0,((alpha_infinity * 0.03356412) + 0.9912278) - (sigma * 3.4126663e-6),9,0.0005091666,0.022564724298271163,0.02257980793644933,0.015640465845158425,0.015766966029174878,0.9242727975009571,12000
