segment_id,segment_name,candidate_index,complexity,pysr_loss,pysr_score,equation,expression_for_eval,eval_status,rmse,mae,max_abs_error,r2
1,low_100_700,8,12,0.0005954455,0.0032363413318922,(-9.637002 / log(sigma - f)) + (0.84773344 - (f * -0.0008633287)),0.0008633287*f + 0.84773344 - 9.637002/log(-f + sigma),ok,0.02435977933970681,0.019037679415503935,0.1307093069989873,0.9762363115063657
2,midlow_700_1000,7,11,0.0019150878,0.000325727503515,(alpha_infinity * 0.06438096) + (0.92365026 - (lambda_var + (342.8974 / f))),alpha_infinity*0.06438096 - (lambda_var + 342.8974/f) + 0.92365026,ok,0.04368564768609594,0.032676929721478586,0.19275566328100235,0.5588324391459127
3,midhigh_1000_1300,7,12,0.0026687824,0.0298748591103309,(0.7603977 - ((h + -0.02931524) * sqrt(sigma))) - (alpha_infinity * -0.08451252),0.08451252*alpha_infinity - sqrt(sigma)*(h - 0.02931524) + 0.7603977,ok,0.05159899778528109,0.03878044892505448,0.24860759487066242,0.41754652854391283
4,highlow_1300_1650,8,11,0.0014235753,0.0339059416204983,((alpha_infinity * h) - (lambda_var - phi)) - (sigma * 2.8136515e-6),alpha_infinity*h - 2.8136515e-6*sigma - (lambda_var - phi),ok,0.03783279438792659,0.0269400178968234,0.2299452833944886,0.7780197836081996
5,high_1650_2000,9,12,0.00047560662,0.0136918315924074,(1.0179732 - (log(alpha_infinity) * -0.058148455)) + (sigma * (-0.006206182 / f)),0.058148455*log(alpha_infinity) + 1.0179732 - 0.006206182*sigma/f,ok,0.021866189982683644,0.014904023939727305,0.18645510510441232,0.9309809771035478
