segment_id,segment_name,lower_hz,upper_hz,equation,complexity,loss,train_rmse,test_rmse,train_mae,test_mae,test_r2,n_rows_used
1,low_100_700,100.0,700.0,(f * 0.00086543703) - ((33.90888 / sqrt(sigma)) + -0.11159766),10,0.0006014632,0.024524747680765673,0.024332033040294906,0.019310166991013594,0.01914224383839375,0.976353955350851,20000
2,mid_700_1300,700.0,1300.0,(f * 0.00041920686) + 0.25800374,5,0.0031270995,0.055920480084670196,0.055684764331614685,0.04185780363438191,0.04131289518219893,0.6253301091576189,20000
3,high_1300_2000,1300.0,2000.0,(sqrt(sqrt(alpha_infinity)) + log(f / sqrt(sigma))) * 0.26838857,11,0.0014093084,0.037540756876705786,0.03742395049954477,0.02872273173957815,0.029008331702138696,0.8053588036277233,24000
