segment_id,segment_name,lower_hz,upper_hz,equation,complexity,loss,train_rmse,test_rmse,train_mae,test_mae,test_r2,n_rows_used
1,low_100_700,100.0,700.0,-0.047385447 - (f * ((7.5610723 / sigma) + -0.001041037)),9,0.00063292775,0.02515805661047193,0.02486067612808598,0.019287507717476345,0.01909005834834467,0.9753153154342717,20000
2,midlow_700_1000,700.0,1000.0,(alpha_infinity * 0.064448245) + (0.9508056 - (365.5942 / f)),9,0.0019163358,0.04377597459751701,0.043329055082168715,0.03295278164974225,0.03276322549806771,0.5763321546563337,10000
3,midhigh_1000_1300,1000.0,1300.0,0.8215952 - ((h + -0.029997652) * (sigma / alpha_infinity)),9,0.002919017,0.05402793825239196,0.052854769708029284,0.039526617444659,0.0393394208496696,0.36315080801459076,10000
4,highlow_1300_1650,1300.0,1650.0,((alpha_infinity * h) - -0.9324982) - (2.8136515e-6 * sigma),9,0.001523459,0.03903150733914875,0.03963182249191185,0.028405807037322522,0.02850918889530588,0.7566215076782599,12000
5,high_1650_2000,1650.0,2000.0,1.0429487 - (sigma * 3.409771e-6),5,0.00064340053,0.02536534195197595,0.025760292557566976,0.018014238489696636,0.017950294930458893,0.9051306145759822,12000
