segment_id,segment_name,lower_hz,upper_hz,equation,complexity,loss,train_rmse,test_rmse,train_mae,test_mae,test_r2,n_rows_used
1,low_100_700,100.0,700.0,(((f * 8.0045764e-5) + 0.05424218) * log(sigma)) - 0.6327792,10,0.0005442084,0.023328281865791677,0.022931376463926147,0.01776012121039488,0.01756192560685254,0.9789979369155959,20000
2,midlow_700_1000,700.0,1000.0,((519.315 / (((alpha_infinity / 31.532084) / ((sqrt(sqrt(k0_prime)) / -50.882507) - lambda_var)) - f)) + (-12.036722 / sqrt(sigma))) + 1.1707493,22,0.0012622126,0.03552763202123912,0.035253984400361565,0.027263168418913204,0.02702494515096498,0.7195318925600394,10000
3,midhigh_1000_1300,1000.0,1300.0,((f * 0.00035354475) + (0.260369 - sqrt(lambda_var / 0.02319787))) + (alpha_infinity * (0.121990345 - ((sigma * 1.0190168e-11) * sigma))),20,0.001110767,0.033328173456284034,0.03326409923011843,0.02395782494693497,0.024096787722925294,0.7477566257248258,10000
4,highlow_1300_1650,1300.0,1650.0,sqrt(sqrt(alpha_infinity)) + ((-197.07608 / f) + (alpha_infinity * (sigma * -1.9117585e-6))),13,0.0007701535,0.02775163968476531,0.02791243934395504,0.019014666625975344,0.018986829517338617,0.8792770907102839,12000
5,high_1650_2000,1650.0,2000.0,(-0.09192182 / alpha_infinity) + ((sigma * -3.4917198e-6) + 1.1103599),9,0.000486946,0.022066855024149415,0.022237375099995745,0.014884188571717931,0.015020989252396512,0.9293045360633106,12000
